# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
25062.1000 M718 1000 1 196.1000 p3 p0 296 N p3->p0
25062.2000 M716 1000 2 266.2000 p4 p0 295 N p4->p3->p0
25716.1000 M743 1000 1 0.1000 p3 p0 299 N p3->p0
25823.1000 M746 1000 1 0.1000 p0 p3 299 N p0->p3
25826.1000 M736 1000 1 340.1000 p4 p2 294 N p4->p2
25826.2000 M737 1000 2 306.2000 p3 p2 294 N p3->p4->p2
25832.0000 M731 1000 2 528.0000 p2 p3 291 N p2->p4->p3
25832.1000 M683 1000 9 2175.1000 p1 p0 263 N p1->p12->p15->c78->c79->c87->c84->p2->p4->p0
25991.1000 M751 1000 1 0.1000 p4 p3 299 N p4->p3
26206.1000 M757 1000 1 0.1000 p4 p3 299 N p4->p3
26242.8000 M690 1000 5 2350.8000 p4 p1 260 N p4->p2->p13->p15->p12->p1
26242.9000 M728 1000 5 1032.9000 p4 p1 282 N p4->p2->p13->p15->p12->p1
26243.0000 M735 1000 4 791.0000 p2 p1 286 N p2->p13->p15->p12->p1
26793.1000 M774 1000 1 0.1000 p0 p4 299 N p0->p4
26936.1000 M778 1000 1 0.1000 p0 p4 299 N p0->p4
28151.1000 M813 1000 1 0.1000 p0 p4 299 N p0->p4
29668.1000 M856 1000 2 84.1000 p0 p3 298 N p0->p4->p3
30160.1000 M871 1000 1 44.1000 p4 p3 299 N p4->p3
30417.1000 M879 1000 2 21.1000 p2 p0 299 N p2->p13->p0
30417.2000 M849 1000 2 1061.2000 p2 p0 282 N p2->p13->p0
30417.3000 M775 1000 2 3590.3000 p2 p0 240 N p2->p13->p0
30420.0000 M834 1000 6 1575.0000 p1 p4 273 N p1->p12->p16->p15->p13->p0->p4
30423.1000 M781 1000 5 3379.1000 p1 p3 243 N p1->p12->p13->p0->p4->p3
30423.2000 M847 1000 4 1137.2000 p2 p3 281 N p2->p13->p0->p4->p3
30426.5000 M796 1000 3 2858.5000 p4 p2 252 N p4->p0->p13->p2
30426.6000 M839 1000 2 1417.6000 p0 p2 276 N p0->p13->p2
30426.7000 M832 1000 3 1645.7000 p4 p2 272 N p4->p0->p13->p2
30426.8000 M851 1000 4 1005.8000 p3 p2 283 N p3->p4->p0->p13->p2
30426.9000 M760 1000 3 4112.9000 p4 p2 231 N p4->p0->p13->p2
30427.0000 M810 1000 3 2376.0000 p4 p2 260 N p4->p0->p13->p2
30494.2000 M882 1000 2 0.2000 p2 p0 299 N p2->p13->p0
31512.1000 M885 1000 7 916.1000 p3 p1 284 N p3->p4->p0->p13->p15->p16->p12->p1
31512.2000 M853 1000 6 2025.2000 p4 p1 266 N p4->p0->p13->p15->p16->p12->p1
31512.3000 M850 1000 6 2122.3000 p3 p1 264 N p3->p4->p0->p13->p15->p12->p1
31512.4000 M819 1000 6 3161.4000 p3 p1 247 N p3->p4->p0->p13->p15->p12->p1
31886.1000 M917 1000 1 181.1000 p3 p4 296 N p3->p4
31975.1000 M925 1000 1 0.1000 p0 p4 299 N p0->p4
32101.1000 M740 1000 5 6487.1000 p1 p7 191 N p1->p12->p16->p15->c84->p7
32101.2000 M662 1000 2 9155.2000 p2 p7 147 N p2->c84->p7
32101.3000 M900 1000 4 961.3000 p1 p7 283 N p1->p12->p16->c84->p7
32101.4000 M783 1000 6 4988.4000 p1 p7 216 N p1->p12->p16->p15->p55->c84->p7
32101.5000 M789 1000 2 4767.5000 p2 p7 220 N p2->c84->p7
32101.6000 M703 1000 4 7755.6000 p1 p7 170 N p1->p12->p16->c84->p7
32101.7000 M782 1000 4 5021.7000 p4 p7 216 N p4->p0->p13->c84->p7
32101.8000 M863 1000 3 2261.8000 p0 p7 262 N p0->p13->c84->p7
32101.9000 M706 1000 6 7648.9000 p3 p7 172 N p3->p4->p2->p13->p15->c84->p7
32102.0000 M784 1000 6 4952.0000 p1 p7 217 N p1->p12->p16->p15->p55->c84->p7
32102.1000 M797 1000 4 4499.1000 p3 p7 225 N p3->p0->p13->c84->p7
32102.2000 M833 1000 5 3291.2000 p3 p7 245 N p3->p4->p0->p13->c84->p7
32102.3000 M733 1000 7 6724.3000 p3 p7 187 N p3->p0->p4->p2->p13->p15->c84->p7
32102.4000 M759 1000 5 5825.4000 p3 p7 202 N p3->p4->p0->p13->c84->p7
32102.5000 M647 1000 6 9675.5000 p4 p7 138 N p4->p0->p13->p15->p49->c84->p7
33839.1000 M959 1000 1 648.1000 p3 p0 289 N p3->p0
33840.0000 M972 1000 2 188.0000 p0 p4 296 N p0->p3->p4
33840.1000 M976 1000 2 41.1000 p0 p4 299 N p0->p3->p4
33890.7000 M965 1000 4 494.7000 p2 p1 291 N p2->p13->p15->p12->p1
34813.3000 M1005 1000 2 25.3000 p0 p3 299 N p0->p4->p3
35010.1000 M1011 1000 1 0.1000 p0 p3 299 N p0->p3
35079.2000 M1013 1000 2 0.2000 p3 p0 299 N p3->p4->p0
35406.7000 M1017 1000 4 176.7000 p1 p2 297 N p1->p12->p15->p13->p2
35430.1000 M932 1000 6 3200.1000 p1 p4 246 N p1->p12->p16->p15->p13->p2->p4
35430.2000 M973 1000 5 1741.2000 p1 p4 270 N p1->p12->p15->p13->p2->p4
35430.3000 M910 1000 6 3955.3000 p1 p4 234 N p1->p12->p16->p15->p13->p2->p4
35430.4000 M1016 1000 2 238.4000 p0 p2 296 N p0->p4->p2
35430.5000 M937 1000 1 3028.5000 p4 p2 249 N p4->p2
35430.6000 M940 1000 2 2923.6000 p3 p2 251 N p3->p4->p2
35430.7000 M992 1000 1 1088.7000 p4 p2 281 N p4->p2
35430.8000 M967 1000 2 1960.8000 p3 p2 267 N p3->p4->p2
35430.9000 M898 1000 2 4362.9000 p0 p2 227 N p0->p4->p2
35431.0000 M945 1000 1 2744.0000 p4 p2 254 N p4->p2
35440.2000 M901 1000 7 4265.2000 p1 p3 228 N p1->p12->p16->p15->p13->p2->p4->p3
35440.3000 M902 1000 2 4232.3000 p2 p3 229 N p2->p4->p3
35446.3000 M986 1000 5 1304.3000 p4 p1 278 N p4->p2->p13->p15->p12->p1
35446.4000 M891 1000 6 4634.4000 p0 p1 222 N p0->p4->p2->p13->p15->p12->p1
35446.5000 M905 1000 5 4142.5000 p4 p1 230 N p4->p2->p13->p15->p12->p1
35602.1000 M1022 1000 6 192.1000 p1 p0 296 N p1->p12->p15->p13->p2->p4->p0
35602.2000 M966 1000 2 2169.2000 p2 p0 263 N p2->p4->p0
35748.5000 M1032 1000 4 0.5000 p2 p1 299 N p2->p13->p15->p12->p1
36041.1000 M1035 1000 1 181.1000 p3 p4 296 N p3->p4
36215.1000 M1044 1000 1 44.1000 p0 p3 299 N p0->p3
36351.1000 M1049 1000 1 0.1000 p4 p0 299 N p4->p0
36383.1000 M1050 1000 1 0.1000 p4 p3 299 N p4->p3
36717.4000 M1053 1000 5 232.4000 p1 p2 296 N p1->p12->p16->p15->p13->p2
36764.1000 M1057 1000 1 143.1000 p0 p4 297 N p0->p4
