0	 CONN	6	 1	 up
693000	 CONN	3	 2	 down
694000	 CONN	3	 2	 up
695000	 CONN	3	 2	 down
696000	 CONN	3	 2	 up
697000	 CONN	3	 2	 down
698000	 CONN	3	 2	 up
699000	 CONN	3	 2	 down
700000	 CONN	3	 2	 up
701000	 CONN	3	 2	 down
702000	 CONN	3	 2	 up
703000	 CONN	3	 2	 down
704000	 CONN	3	 2	 up
705000	 CONN	3	 2	 down
706000	 CONN	3	 2	 up
707000	 CONN	3	 2	 down
708000	 CONN	3	 2	 up
709000	 CONN	3	 2	 down
710000	 CONN	3	 2	 up
711000	 CONN	3	 2	 down
712000	 CONN	3	 2	 up
713000	 CONN	3	 2	 down
714000	 CONN	3	 2	 up
715000	 CONN	3	 2	 down
716000	 CONN	3	 2	 up
717000	 CONN	3	 2	 down
718000	 CONN	3	 2	 up
719000	 CONN	3	 2	 down
720000	 CONN	3	 2	 up
721000	 CONN	3	 2	 down
722000	 CONN	3	 2	 up
723000	 CONN	3	 2	 down
724000	 CONN	3	 2	 up
725000	 CONN	3	 2	 down
726000	 CONN	3	 2	 up
727000	 CONN	3	 2	 down
728000	 CONN	3	 2	 up
729000	 CONN	3	 2	 down
730000	 CONN	3	 2	 up
731000	 CONN	3	 2	 down
732000	 CONN	3	 2	 up
733000	 CONN	3	 2	 down
734000	 CONN	3	 2	 up
735000	 CONN	3	 2	 down
736000	 CONN	3	 2	 up
737000	 CONN	3	 2	 down
738000	 CONN	3	 2	 up
739000	 CONN	3	 2	 down
740000	 CONN	3	 2	 up
741000	 CONN	3	 2	 down
742000	 CONN	3	 2	 up
743000	 CONN	3	 2	 down
744000	 CONN	3	 2	 up
745000	 CONN	3	 2	 down
746000	 CONN	3	 2	 up
747000	 CONN	3	 2	 down
748000	 CONN	3	 2	 up
749000	 CONN	3	 2	 down
750000	 CONN	3	 2	 up
751000	 CONN	3	 2	 down
752000	 CONN	3	 2	 up
753000	 CONN	3	 2	 down
754000	 CONN	3	 2	 up
755000	 CONN	3	 2	 down
756000	 CONN	3	 2	 up
757000	 CONN	3	 2	 down
758000	 CONN	3	 2	 up
759000	 CONN	3	 2	 down
760000	 CONN	3	 2	 up
761000	 CONN	3	 2	 down
762000	 CONN	3	 2	 up
763000	 CONN	3	 2	 down
764000	 CONN	3	 2	 up
765000	 CONN	3	 2	 down
766000	 CONN	3	 2	 up
767000	 CONN	3	 2	 down
768000	 CONN	3	 2	 up
769000	 CONN	3	 2	 down
770000	 CONN	3	 2	 up
771000	 CONN	3	 2	 down
772000	 CONN	3	 2	 up
773000	 CONN	3	 2	 down
774000	 CONN	3	 2	 up
775000	 CONN	3	 2	 down
776000	 CONN	3	 2	 up
777000	 CONN	3	 2	 down
778000	 CONN	3	 2	 up
779000	 CONN	3	 2	 down
780000	 CONN	3	 2	 up
781000	 CONN	3	 2	 down
782000	 CONN	3	 2	 up
783000	 CONN	3	 2	 down
784000	 CONN	3	 2	 up
785000	 CONN	3	 2	 down
786000	 CONN	3	 2	 up
787000	 CONN	3	 2	 down
788000	 CONN	3	 2	 up
789000	 CONN	3	 2	 down
790000	 CONN	3	 2	 up
791000	 CONN	3	 2	 down
792000	 CONN	3	 2	 up
793000	 CONN	3	 2	 down
794000	 CONN	3	 2	 up
795000	 CONN	3	 2	 down
796000	 CONN	3	 2	 up
797000	 CONN	3	 2	 down
798000	 CONN	3	 2	 up
799000	 CONN	3	 2	 down
800000	 CONN	3	 2	 up
801000	 CONN	3	 2	 down
802000	 CONN	3	 2	 up
803000	 CONN	3	 2	 down
804000	 CONN	3	 2	 up
805000	 CONN	3	 2	 down
806000	 CONN	3	 2	 up
807000	 CONN	3	 2	 down
808000	 CONN	3	 2	 up
809000	 CONN	3	 2	 down
810000	 CONN	3	 2	 up
811000	 CONN	3	 2	 down
812000	 CONN	3	 2	 up
813000	 CONN	3	 2	 down
814000	 CONN	3	 2	 up
